.04602 0.93481 -2.84733 0.71756 -0.06107 
0.02002 0.04761 0.93762 -2.92366 0.69466 -0.06107 
0.01819 0.04236 0.93652 -2.88550 0.68702 -0.06107 
0.01770 0.04053 0.93445 -2.96947 0.70992 -0.06107 
0.01636 0.04065 0.93799 -2.77863 0.67176 -0.03053 
0.01648 0.04456 0.93872 -2.80153 0.64122 -0.03053 
0.01501 0.04309 0.93506 -2.87786 0.66412 -0.03817 
0.01868 0.04309 0.93616 -2.88550 0.73282 -0.08397 
0.02002 0.04663 0.93860 -2.82443 0.70992 -0.04580 
0.02148 0.04480 0.93457 -2.83969 0.67939 -0.06107 
0.02026 0.04382 0.93933 -2.87786 0.77099 -0.10687 
0.01904 0.04419 0.93628 -2.87023 0.74046 -0.06870 
0.01831 0.03931 0.93567 -2.89313 0.72519 -0.05344 
0.01416 0.04211 0.93921 -2.82443 0.80153 -0.08397 
0.01453 0.04492 0.93311 -2.83969 0.70229 -0.10687 
0.01453 0.04370 0.93738 -2.92366 0.71756 -0.08397 
0.01709 0.04651 0.93896 -2.88550 0.63359 -0.03817 
0.01465 0.04688 0.93713 -2.90076 0.74809 -0.05344 
0.02173 0.04224 0.93640 -2.92366 0.59542 -0.07634 
0.01941 0.04236 0.93311 -2.92366 0.71756 -0.09160 
0.01746 0.04407 0.93701 -2.90076 0.63359 -0.09160 
0.02185 0.04211 0.93933 -2.89313 0.71756 -0.07634 
0.01868 0.04614 0.93958 -2.87786 0.67939 0.00000 
0.01855 0.04602 0.93738 -2.96183 0.62595 -0.09924 
0.01660 0.04456 0.93713 -2.90840 0.67176 -0.08397 
0.01611 0.04382 0.93555 -2.87786 0.66412 -0.05344 
0.01575 0.04199 0.93787 -2.91603 0.71756 -0.06107 
0.02026 0.04211 0.94177 -2.93130 0.64122 -0.12214 
0.01599 0.04431 0.93494 -2.81679 0.67939 -0.05344 
0.01855 0.04260 0.93726 -2.85496 0.73282 -0.06107 
0.01624 0.04614 0.93713 -2.85496 0.68702 -0.03817 
0.01697 0.04419 0.93945 -2.94656 0.69466 -0.03053 
0.01794 0.04480 0.93909 -2.91603 0.74046 -0.03817 
0.01733 0.04663 0.93665 -2.86260 0.73282 -0.09160 
0.01721 0.04456 0.93799 -2.90076 0.73282 -0.01527 
0.01843 0.04370 0.93787 -2.89313 0.67176 -0.11450 
0.02063 0.04224 0.94116 -2.90076 0.71756 -0.03817 
0.01587 0.04297 0.93738 -2.86260 0.64885 -0.03053 
0.01550 0.04395 0.93933 -2.87023 0.68702 -0.04580 
0.01697 0.04553 0.93921 -2.84733 0.67939 -0.10687 
0.01831 0.04700 0.93945 -2.88550 0.71756 0.03053 
0.02039 0.04565 0.94043 -2.85496 0.67939 -0.04580 
0.01819 0.04236 0.93945 -2.91603 0.72519 -0.03817 
0.01892 0.04260 0.93591 -2.81679 0.79389 -0.02290 
0.01770 0.04236 0.93555 -2.86260 0.67939 -0.13740 
0.01355 0.04431 0.93579 -2.96183 0.65649 -0.03817 
0.01807 0.04175 0.94165 -2.94656 0.74046 -0.05344 
0.01453 0.04297 0.93616 -2.84733 0.72519 -0.09160 
0.01917 0.04602 0.93872 -2.94656 0.65649 -0.03817 
0.01721 0.04663 0.93909 -2.78626 0.74809 -0.02290 
0.01709 0.04492 0.93567 -2.80916 0.68702 -0.03053 
0.01770 0.04370 0.94080 -2.91603 0.70992 -0.09924 
0.01794 0.04248 0.93713 -2.79389 0.71756 -0.03053 
0.01941 0.04614 0.93481 -2.83206 0.69466 -0.08397 
0.02026 0.04260 0.93848 -2.89313 0.67176 -0.03817 
0.01636 0.04321 0.93970 -2.80916 0.69466 -0.02290 
0.01685 0.04602 0.93970 -2.86260 0.65649 -0.04580 
0.01782 0.04358 0.93518 -2.87786 0.61069 -0.03817 
0.01831 0.04211 0.93652 -2.81679 0.72519 -0.09160 
0.01624 0.04199 0.93945 -2.92366 0.74046 -0.09924 
0.01868 0.03955 0.93982 -2.86260 0.73282 -0.04580 
0.01855 0.04285 0.93750 -2.87786 0.73282 -0.10687 
0.01758 0.04431 0.93689 -2.82443 0.64885 -0.04580 
0.01648 0.04602 0.93799 -2.87023 0.71756 -0.00763 
0.01721 0.04431 0.93762 -2.83969 0.69466 -0.06107 
0.01868 0.04565 0.93921 -2.94656 0.70992 -0.08397 
0.01892 0.04224 0.93848 -2.87786 0.64122 -0.08397 
0.01709 0.03979 0.93774 -2.83969 0.71756 -0.07634 
0.01770 0.04321 0.93652 -2.87023 0.75573 -0.03053 
0.01575 0.04224 0.93921 -2.90076 0.70229 -0.02290 
0.01868 0.04480 0.93799 -2.74809 0.67939 -0.10687 
0.01819 0.04382 0.94104 -2.87023 0.70229 -0.05344 
0.01733 0.04590 0.93469 -2.80916 0.70229 -0.12977 
0.01611 0.04688 0.93616 -2.87786 0.70229 -0.12977 
0.01892 0.04285 0.93518 -2.95420 0.70229 -0.03817 
0.01575 0.04346 0.93872 -2.83969 0.74809 -0.03053 
0.01941 0.04211 0.93616 -2.87023 0.73282 -0.01527 
