736802.988796,0.01236 -0.00158 1.00765 -0.58038 -0.30268 -0.54423 
736802.988797,0.01163 0.00135 1.00155 -0.27550 0.18513 0.37040 
736802.988798,0.00931 0.00135 1.00643 -0.39745 -0.30268 0.49235 
736802.988798,0.01346 -0.00048 1.00192 -0.64136 -0.05878 -0.54423 
736802.988799,0.01114 0.00111 1.00338 -0.70233 0.61195 0.55333 
736802.988799,0.01211 -0.00085 1.00131 -0.70233 -0.42463 0.00455 
736802.9888,0.01114 -0.00060 1.00582 -0.27550 -0.24170 0.18748 
736802.988801,0.01273 -0.00182 1.00424 -0.33648 -0.05878 0.30943 
736802.988801,0.01089 0.00245 1.00558 -0.64136 -0.48561 -0.11740 
736802.988802,0.01199 0.00513 1.00192 -0.15355 0.30708 0.43138 
736802.988803,0.01236 -0.00036 1.00167 -0.94623 -0.11975 0.00455 
736802.988803,0.01285 0.00001 1.00460 -0.94623 0.06317 0.12650 
736802.988804,0.01431 -0.00256 1.00802 0.27328 -0.24170 -0.17838 
736802.988804,0.01309 -0.00012 1.00851 -0.64136 0.06317 -0.36130 
736802.988805,0.01211 -0.00085 1.00424 -0.15355 -0.24170 0.37040 
736802.988806,0.01248 -0.00060 1.00167 -0.09258 -0.05878 -0.11740 
736802.988807,0.01211 -0.00353 1.00509 -0.15355 0.67293 0.24845 
736802.988807,0.01297 -0.00085 1.00326 -0.70233 0.49000 0.12650 
736802.988808,0.01138 0.00086 1.00448 -0.45843 0.49000 -0.30033 
736802.988808,0.01334 0.00098 1.00179 -0.58038 0.30708 0.24845 
736802.988809,0.01627 -0.00256 1.00216 -0.70233 -0.30268 -0.17838 
736802.98881,0.01065 -0.00158 1.00179 -0.15355 0.67293 0.12650 
736802.98881,0.00906 0.00123 1.00350 0.21230 0.18513 0.06553 
736802.988811,0.01163 0.00025 0.99996 -0.45843 0.49000 0.37040 
736802.988811,0.01211 0.00135 1.00057 -0.70233 0.24610 0.24845 
736802.988812,0.01028 0.00086 1.00424 -0.27550 0.55098 0.06553 
736802.988813,0.01260 -0.00121 1.00070 -0.33648 -0.18073 0.67528 
736802.988813,0.01358 -0.00036 1.00424 -1.25111 0.18513 0.12650 
736802.988814,0.01175 -0.00182 1.00204 -0.27550 0.24610 0.00455 
736802.988815,0.01285 0.00049 1.00216 -0.45843 -0.54658 0.49235 
736802.988815,0.01028 -0.00036 1.00179 -0.27550 0.12415 0.18748 
736802.988816,0.01407 -0.00207 1.00460 -0.51940 -0.42463 0.06553 
736802.988816,0.01297 0.00294 1.00399 -0.21453 0.36805 0.18748 
736802.988817,0.01260 0.00342 1.00289 -0.15355 0.18513 0.37040 
736802.988818,0.01602 -0.00182 1.00460 0.09035 0.18513 0.37040 
736802.988818,0.01163 -0.00085 1.00228 -0.58038 0.18513 0.00455 
736802.988819,0.01224 -0.00170 1.00375 -0.51940 0.12415 0.49235 
736802.98882,0.01382 -0.00012 1.00326 -0.51940 -0.72951 0.00455 
736802.98882,0.00992 0.00037 0.99960 0.09035 0.61195 -0.05643 
736802.988821,0.01138 -0.00109 1.00472 -0.39745 0.00220 0.55333 
736802.988821,0.01260 -0.00073 1.00302 0.02938 0.00220 0.06553 
736802.988822,0.01199 0.00001 1.00570 -0.03160 0.12415 -0.42228 
736802.988823,0.01065 0.00001 1.00265 -0.39745 -0.18073 0.30943 
736802.988823,0.01431 0.00172 1.00241 -0.27550 0.67293 -0.11740 
736802.988824,0.01211 0.00123 1.00216 -0.33648 0.36805 0.06553 
736802.988825,0.01126 -0.00170 1.00643 -0.58038 0.18513 -0.05643 
736802.988825,0.01163 -0.00195 1.00045 -0.39745 0.36805 0.37040 
736802.988826,0.01114 -0.00012 1.00265 -0.33648 0.00220 0.00455 
736802.988826,0.01407 0.00001 1.00424 -0.15355 0.12415 -0.11740 
736802.988827,0.01382 -0.00024 1.00375 -0.58038 0.18513 -0.23935 
736802.988828,0.01211 -0.00085 1.00363 -0.21453 0.18513 -0.60521 
736802.988828,0.01273 0.00037 1.00314 -0.51940 0.36805 -0.17838 
736802.988829,0.01138 0.00147 1.00057 -0.58038 0.30708 0.12650 
736802.98883,0.01260 -0.00012 1.00302 -1.12916 -0.11975 0.37040 
736802.98883,0.01150 0.00233 1.00363 -0.45843 0.06317 0.12650 
736802.988831,0.01175 0.00074 1.00570 -0.82428 -0.24170 -0.60521 
736802.988831,0.01395 0.00245 1.00607 -0.09258 0.24610 -0.11740 
736802.988832,0.01126 -0.00109 1.00253 -0.15355 -0.11975 0.00455 
736802.988833,0.00943 0.00001 0.99935 -0.09258 -0.54658 0.18748 
736802.988833,0.01370 -0.00097 1.00656 -0.27550 0.00220 0.12650 
736802.988834,0.01114 0.00013 1.00375 -0.33648 0.36805 0.49235 
736802.988834,0.00955 0.00184 1.00253 -0.58038 0.12415 0.12650 
736802.988835,0.01114 -0.00134 1.00033 -0.45843 0.18513 0.55333 
736802.988836,0.01126 -0.00256 1.00204 -0.33648 0.36805 0.12650 
736802.988836,0.01163 -0.00097 1.00338 -0.39745 -0.05878 -0.05643 
736802.988837,0.01382 0.00159 1.00277 -0.70233 -0.05878 0.30943 
736802.988838,0.01285 -0.00012 0.99911 -0.39745 0.42903 -0.05643 
736802.988838,0.01138 0.00111 1.00472 -0.27550 -0.36366 0.67528 
736802.988839,0.01211 0.00086 1.00436 -0.64136 0.18513 -0.42228 
736802.988839,0.01614 -0.00085 1.00216 -0.45843 0.42903 0.18748 
736802.98884,0.01321 -0.00182 1.00106 -0.51940 0.00220 -0.42228 
736802.988841,0.01346 0.00123 1.00155 -0.64136 0.12415 0.12650 
736802.988842,0.01346 -0.00182 1.00155 -0.39745 -0.05878 0.61431 
736802.988842,0.01273 0.00049 1.00436 -0.45843 0.00220 0.30943 
736802.988843,0.01126 0.00123 1.00338 -0.21453 0.12415 0.18748 
736802.988843,0.01285 0.00025 1.00875 -0.58038 -0.42463 0.12650 
736802.988844,0.01016 -0.00158 1.00582 -0.51940 -0.05878 -0.05643 
736802.988845,0.01236 0.00245 1.00118 -0.51940 -0.48561 -0.05643 
736802.988845,0.01224 0.00086 0.99923 -0.76331 -0.48561 -0.11740 
736802.988846,0.01150 -0.00146 1.00363 -0.58038 -0.85146 0.06553 
736802.988846,0.01163 0.00037 1.00314 -0.82428 -0.42463 0.55333 
736802.988847,0.01358 -0.00048 1.00448 -0.70233 0.30708 0.67528 
736802.988848,0.01175 -0.00280 1.00350 -0.64136 0.00220 -0.05643 
736802.988848,0.01321 0.00135 1.00729 -1.06819 0.18513 0.12650 
736802.988849,0.01126 -0.00012 1.00106 -0.33648 -0.05878 -0.36130 
736802.98885,0.01260 0.00086 1.00143 -0.03160 0.18513 -0.23935 
